concept_id,concept_name,terminology,code,category,description,synonyms,semantic_type,version
T0020,Non-small cell lung cancer,SNOMED_CT,254637007,cancer_type,Non-small cell carcinoma of lung,NSCLC;non-small cell lung carcinoma,histology,2025-01-31
T0021,Mesothelioma of pleura,SNOMED_CT,254645005,cancer_type,Mesothelioma of pleura,pleural mesothelioma;malignant pleural mesothelioma;MPM,histology,2025-01-31
T0022,Hepatocellular carcinoma,SNOMED_CT,25370001,cancer_type,Hepatocellular carcinoma,HCC;liver cell carcinoma;primary liver cancer,histology,2025-01-31
T0023,Adenocarcinoma of pancreas,SNOMED_CT,372003004,cancer_type,Adenocarcinoma of pancreas,pancreatic adenocarcinoma;PDAC;pancreatic cancer,histology,2025-01-31
T0024,Adenocarcinoma of prostate,SNOMED_CT,254900004,cancer_type,Adenocarcinoma of prostate,prostate cancer;prostatic adenocarcinoma;PCa,histology,2025-01-31
T0025,Renal cell carcinoma,SNOMED_CT,41607009,cancer_type,Renal cell carcinoma,RCC;kidney cancer;clear cell renal carcinoma,histology,2025-01-31
T0026,Transitional cell carcinoma of bladder,SNOMED_CT,363358000,cancer_type,Transitional cell carcinoma of bladder,bladder cancer;urothelial carcinoma bladder;TCC bladder,histology,2025-01-31
T0027,Diffuse large B-cell lymphoma,SNOMED_CT,413839001,cancer_type,Diffuse large B-cell lymphoma,DLBCL;diffuse large B cell;aggressive NHL,histology,2025-01-31
T0028,Follicular lymphoma,SNOMED_CT,413535001,cancer_type,Follicular lymphoma,follicular NHL;grade 1-2 follicular lymphoma,histology,2025-01-31
T0029,Hodgkin lymphoma,SNOMED_CT,118601006,cancer_type,Hodgkin disease,Hodgkin disease;HL;classical Hodgkin lymphoma,histology,2025-01-31
T0030,Multiple myeloma,SNOMED_CT,109989006,cancer_type,Multiple myeloma,plasma cell myeloma;Kahler disease;myelomatosis,histology,2025-01-31
T0031,Chronic myeloid leukemia,SNOMED_CT,92818009,cancer_type,Chronic myeloid leukemia,CML;chronic granulocytic leukemia;BCR-ABL positive leukemia,histology,2025-01-31
T0032,Acute myeloid leukemia,SNOMED_CT,91861009,cancer_type,Acute myeloid leukemia,AML;acute myelogenous leukemia;acute nonlymphocytic leukemia,histology,2025-01-31
T0033,Melanoma,SNOMED_CT,372244006,cancer_type,Malignant melanoma,malignant melanoma;cutaneous melanoma;skin melanoma,histology,2025-01-31
T0034,Malignant neoplasm of thyroid,SNOMED_CT,363478007,cancer_type,Malignant neoplasm of thyroid gland,thyroid cancer;thyroid carcinoma;papillary thyroid carcinoma,histology,2025-01-31
T0035,Glioblastoma,SNOMED_CT,393563007,cancer_type,Glioblastoma multiforme,GBM;grade 4 astrocytoma;glioblastoma multiforme,histology,2025-01-31
T0036,Metastatic malignant neoplasm,SNOMED_CT,128462008,cancer_type,Metastatic malignant neoplasm,metastasis;metastatic disease;distant metastasis;secondary malignancy,finding,2025-01-31
T0037,Left breast structure,SNOMED_CT,80248007,anatomy,Left breast structure,left breast,anatomy,2025-01-31
T0038,Right breast structure,SNOMED_CT,73056007,anatomy,Right breast structure,right breast,anatomy,2025-01-31
T0039,Upper outer quadrant of breast,SNOMED_CT,19100000,anatomy,Upper outer quadrant of breast,UOQ breast;upper outer breast,anatomy,2025-01-31
T0040,Upper inner quadrant of breast,SNOMED_CT,24073000,anatomy,Upper inner quadrant of breast,UIQ breast;upper inner breast,anatomy,2025-01-31
T0041,Lower outer quadrant of breast,SNOMED_CT,33564002,anatomy,Lower outer quadrant of breast,LOQ breast;lower outer breast,anatomy,2025-01-31
T0042,Lower inner quadrant of breast,SNOMED_CT,47927007,anatomy,Lower inner quadrant of breast,LIQ breast;lower inner breast,anatomy,2025-01-31
T0043,Nipple structure,SNOMED_CT,24142002,anatomy,Nipple structure,nipple;areola,anatomy,2025-01-31
T0044,Sigmoid colon structure,SNOMED_CT,60184004,anatomy,Sigmoid colon structure,sigmoid colon;sigmoid;pelvic colon,anatomy,2025-01-31
T0045,Rectum structure,SNOMED_CT,34402009,anatomy,Rectum structure,rectum;rectal,anatomy,2025-01-31
T0046,Cecum structure,SNOMED_CT,32713005,anatomy,Cecum structure,cecum;caecum,anatomy,2025-01-31
T0047,Ascending colon structure,SNOMED_CT,9040008,anatomy,Ascending colon structure,ascending colon;right colon,anatomy,2025-01-31
T0048,Transverse colon structure,SNOMED_CT,485005,anatomy,Transverse colon structure,transverse colon,anatomy,2025-01-31
T0049,Descending colon structure,SNOMED_CT,32622004,anatomy,Descending colon structure,descending colon;left colon,anatomy,2025-01-31
T0050,Rectosigmoid junction structure,SNOMED_CT,73878004,anatomy,Rectosigmoid junction,rectosigmoid;RS junction,anatomy,2025-01-31
T0051,Right upper lobe of lung,SNOMED_CT,72481006,anatomy,Right upper lobe of lung,RUL;right upper lobe,anatomy,2025-01-31
T0052,Right lower lobe of lung,SNOMED_CT,77831004,anatomy,Right lower lobe of lung,RLL;right lower lobe,anatomy,2025-01-31
T0053,Right middle lobe of lung,SNOMED_CT,72481006,anatomy,Right middle lobe of lung,RML;right middle lobe,anatomy,2025-01-31
T0054,Left upper lobe of lung,SNOMED_CT,41224006,anatomy,Left upper lobe of lung,LUL;left upper lobe,anatomy,2025-01-31
T0055,Left lower lobe of lung,SNOMED_CT,77831004,anatomy,Left lower lobe of lung,LLL;left lower lobe,anatomy,2025-01-31
T0056,Axillary lymph node,SNOMED_CT,68171009,anatomy,Axillary lymph node structure,axillary node;axillary LN;ALN,anatomy,2025-01-31
T0057,Sentinel lymph node,SNOMED_CT,245294001,anatomy,Sentinel lymph node,SLN;sentinel node,anatomy,2025-01-31
T0058,Mediastinal lymph node,SNOMED_CT,62683002,anatomy,Mediastinal lymph node structure,mediastinal node;hilar lymph node,anatomy,2025-01-31
T0059,Liver structure,SNOMED_CT,10200004,anatomy,Liver structure,liver;hepatic,anatomy,2025-01-31
T0060,Pancreas structure,SNOMED_CT,15776009,anatomy,Pancreas structure,pancreas;pancreatic,anatomy,2025-01-31
T0061,Prostate gland structure,SNOMED_CT,41216001,anatomy,Prostate gland structure,prostate;prostatic gland,anatomy,2025-01-31
T0062,Kidney structure,SNOMED_CT,64033007,anatomy,Kidney structure,kidney;renal,anatomy,2025-01-31
T0063,Bladder structure,SNOMED_CT,89837001,anatomy,Urinary bladder structure,bladder;urinary bladder,anatomy,2025-01-31
T0064,Ovary structure,SNOMED_CT,15497006,anatomy,Ovary structure,ovary;ovarian,anatomy,2025-01-31
T0065,Uterus structure,SNOMED_CT,35039007,anatomy,Uterus structure,uterus;womb;uterine,anatomy,2025-01-31
T0066,Esophagus structure,SNOMED_CT,32849002,anatomy,Esophageal structure,esophagus;oesophagus,anatomy,2025-01-31
T0067,Stomach structure,SNOMED_CT,69695003,anatomy,Stomach structure,stomach;gastric,anatomy,2025-01-31
T0068,Bone structure,SNOMED_CT,272673000,anatomy,Bone structure,bone;skeletal;osseous,anatomy,2025-01-31
T0069,Brain structure,SNOMED_CT,12738006,anatomy,Brain structure,brain;cerebral;intracranial,anatomy,2025-01-31
T0070,Modified radical mastectomy,SNOMED_CT,172456002,procedure,Modified radical mastectomy,MRM;radical mastectomy,procedure,2025-01-31
T0071,Simple mastectomy,SNOMED_CT,387701007,procedure,Simple mastectomy,total mastectomy;bilateral mastectomy,procedure,2025-01-31
T0072,Breast-conserving surgery,SNOMED_CT,392090004,procedure,Lumpectomy,lumpectomy;BCS;wide local excision;WLE;breast conserving;partial mastectomy,procedure,2025-01-31
T0073,Core needle biopsy,SNOMED_CT,44578009,procedure,Core needle biopsy,CNB;core biopsy;tru-cut biopsy,procedure,2025-01-31
T0074,Excisional biopsy,SNOMED_CT,65801008,procedure,Excision biopsy,excision biopsy;open biopsy,procedure,2025-01-31
T0075,Fine needle aspiration,SNOMED_CT,236892000,procedure,Fine needle aspiration biopsy,FNA;FNAB;aspiration cytology,procedure,2025-01-31
T0076,Sentinel lymph node biopsy,SNOMED_CT,396487001,procedure,Sentinel lymph node biopsy,SLNB;sentinel node biopsy;blue dye technique,procedure,2025-01-31
T0077,Axillary lymph node dissection,SNOMED_CT,122459003,procedure,Axillary lymph node dissection,ALND;axillary clearance;level I-II dissection,procedure,2025-01-31
T0078,Right hemicolectomy,SNOMED_CT,173171007,procedure,Right hemicolectomy,right colectomy;right hemi;extended right colectomy,procedure,2025-01-31
T0079,Left hemicolectomy,SNOMED_CT,84631004,procedure,Left hemicolectomy,left colectomy;sigmoid resection,procedure,2025-01-31
T0080,Low anterior resection,SNOMED_CT,26390003,procedure,Low anterior resection of rectum,LAR;anterior resection;rectal resection,procedure,2025-01-31
T0081,Abdominoperineal resection,SNOMED_CT,7411006,procedure,Abdominoperineal excision of the rectum,APR;Miles procedure;AP resection,procedure,2025-01-31
T0082,Lobectomy of lung,SNOMED_CT,51030005,procedure,Lobectomy of lung,lung lobectomy;pulmonary lobectomy,procedure,2025-01-31
T0083,Pneumonectomy,SNOMED_CT,91710007,procedure,Pneumonectomy,total pneumonectomy;lung removal,procedure,2025-01-31
T0084,Neoadjuvant chemotherapy,SNOMED_CT,415070008,procedure,Neoadjuvant chemotherapy,pre-operative chemo;induction chemotherapy;NACT;primary systemic therapy,procedure,2025-01-31
T0085,Radiation therapy,SNOMED_CT,108290001,procedure,Radiation therapy,radiotherapy;RT;XRT;external beam radiation,procedure,2025-01-31
T0086,Nottingham Grade 1,SNOMED_CT,369782007,staging,Nottingham histological grade 1,grade 1;well differentiated;low grade;G1,stage,2025-01-31
T0087,Nottingham Grade 2,SNOMED_CT,369783002,staging,Nottingham histological grade 2,grade 2;moderately differentiated;intermediate grade;G2,stage,2025-01-31
T0088,Nottingham Grade 3,SNOMED_CT,369784008,staging,Nottingham histological grade 3,grade 3;poorly differentiated;high grade;G3,stage,2025-01-31
T0089,AJCC Stage I,SNOMED_CT,1229947003,staging,American Joint Commission on Cancer stage I,stage I;early stage;T1N0M0,stage,2025-01-31
T0090,AJCC Stage IA,SNOMED_CT,1229948008,staging,American Joint Commission on Cancer stage IA,stage IA;pT1aN0M0,stage,2025-01-31
T0091,AJCC Stage IB,SNOMED_CT,1229949000,staging,American Joint Commission on Cancer stage IB,stage IB;pT1bN0M0,stage,2025-01-31
T0092,AJCC Stage II,SNOMED_CT,1229954009,staging,American Joint Commission on Cancer stage II,stage II;stage IIA;stage IIB,stage,2025-01-31
T0093,AJCC Stage IIA,SNOMED_CT,1229955005,staging,American Joint Commission on Cancer stage IIA,stage IIA;pT2N0M0;pT1N1M0,stage,2025-01-31
T0094,AJCC Stage IIB,SNOMED_CT,1229956006,staging,American Joint Commission on Cancer stage IIB,stage IIB;pT3N0M0;pT2N1M0,stage,2025-01-31
T0095,AJCC Stage III,SNOMED_CT,1229957002,staging,American Joint Commission on Cancer stage III,stage III;locally advanced;IIIA;IIIB;IIIC,stage,2025-01-31
T0096,AJCC Stage IIIA,SNOMED_CT,1229958007,staging,American Joint Commission on Cancer stage IIIA,stage IIIA;pT3N1M0,stage,2025-01-31
T0097,AJCC Stage IIIB,SNOMED_CT,1229959004,staging,American Joint Commission on Cancer stage IIIB,stage IIIB;pT4N0M0;locally advanced disease,stage,2025-01-31
T0098,AJCC Stage IIIC,SNOMED_CT,1229960009,staging,American Joint Commission on Cancer stage IIIC,stage IIIC;N3 disease,stage,2025-01-31
T0099,AJCC Stage IV,SNOMED_CT,1229961008,staging,American Joint Commission on Cancer stage IV,stage IV;advanced;metastatic;M1;IVA;IVB,stage,2025-01-31
T0100,pT1 tumor,SNOMED_CT,1229946007,staging,pT1 Tumor 2 cm or less,pT1;T1;T1a;T1b;T1c,stage,2025-01-31
T0101,pT2 tumor,SNOMED_CT,1229950000,staging,pT2 Tumor more than 2 cm but not more than 5 cm,pT2;T2,stage,2025-01-31
T0102,pT3 tumor,SNOMED_CT,1229951001,staging,pT3 Tumor more than 5 cm,pT3;T3,stage,2025-01-31
T0103,pT4 tumor,SNOMED_CT,1229952008,staging,pT4 Tumor with direct extension,pT4;T4;chest wall invasion;skin involvement,stage,2025-01-31
T0104,pN0 node status,SNOMED_CT,1229953003,staging,pN0 No regional lymph node metastasis,pN0;N0;node negative;no nodal metastasis,stage,2025-01-31
T0105,pN1 node status,SNOMED_CT,1229962001,staging,pN1 Metastasis in 1-3 axillary lymph nodes,pN1;N1;pN1a;pN1mi;micrometastasis,stage,2025-01-31
T0106,pN2 node status,SNOMED_CT,1229963006,staging,pN2 Metastasis in 4-9 lymph nodes,pN2;N2;pN2a;extensive nodal involvement,stage,2025-01-31
T0107,pN3 node status,SNOMED_CT,1229964000,staging,pN3 Metastasis in 10 or more lymph nodes,pN3;N3;supraclavicular nodes,stage,2025-01-31
T0108,pM0 No distant metastasis,SNOMED_CT,1229965004,staging,pM0 No distant metastasis,pM0;M0;no distant spread;no metastasis,stage,2025-01-31
T0109,pM1 Distant metastasis present,SNOMED_CT,1229966003,staging,pM1 Distant metastasis,pM1;M1;distant spread;metastatic disease,stage,2025-01-31
T0110,Lymphovascular invasion,SNOMED_CT,1254905005,pathology_feature,Lymphovascular invasion,LVI;lymphovascular space invasion;angiolymphatic invasion;LVSI,finding,2025-01-31
T0111,Perineural invasion,SNOMED_CT,281765004,pathology_feature,Perineural invasion,PNI;neural invasion;perineural growth,finding,2025-01-31
T0112,Positive surgical margin,SNOMED_CT,370052007,pathology_feature,Tumor cells at surgical margin,positive margin;involved margin;R1 resection;close margin,finding,2025-01-31
T0113,Negative surgical margin,SNOMED_CT,370053002,pathology_feature,No tumor at surgical margin,clear margin;free margin;R0 resection;adequate margin,finding,2025-01-31
T0114,Extranodal extension,SNOMED_CT,281473000,pathology_feature,Extranodal extension of carcinoma in lymph node,ENE;extracapsular extension;ECE;perinodal invasion,finding,2025-01-31
T0115,Lymph node micrometastasis,SNOMED_CT,712740003,pathology_feature,Micrometastasis in lymph node,pN1mi;micrometastasis;isolated tumor cells;ITC,finding,2025-01-31
T0116,Vascular invasion,SNOMED_CT,418414003,pathology_feature,Vascular invasion,blood vessel invasion;angioinvasion,finding,2025-01-31
T0117,Tumor necrosis,SNOMED_CT,405984006,pathology_feature,Tumor necrosis,necrosis;intratumoral necrosis,finding,2025-01-31
T0118,Multifocal tumor,SNOMED_CT,765278002,pathology_feature,Multifocal neoplasm,multifocal;multiple foci;synchronous lesions,finding,2025-01-31
T0119,Estrogen receptor positive,SNOMED_CT,416053008,biomarker,Estrogen receptor positive tumor,ER positive;ER+;hormone receptor positive,finding,2025-01-31
T0120,Estrogen receptor negative,SNOMED_CT,416237000,biomarker,Estrogen receptor negative tumor,ER negative;ER-;estrogen receptor negative,finding,2025-01-31
T0121,Progesterone receptor positive,SNOMED_CT,416053008,biomarker,Progesterone receptor positive tumor,PR positive;PR+;PgR positive,finding,2025-01-31
T0122,Progesterone receptor negative,SNOMED_CT,416237000,biomarker,Progesterone receptor negative tumor,PR negative;PR-;PgR negative,finding,2025-01-31
T0123,HER2 protein overexpression,SNOMED_CT,427413009,biomarker,HER2 positive status,HER2+;HER2 3+;HER2 2+ FISH amplified;ERBB2 amplification;c-erbB2 positive,finding,2025-01-31
T0124,HER2 negative,SNOMED_CT,432878004,biomarker,HER2 negative status,HER2-;HER2 0;HER2 1+;HER2 2+ FISH not amplified,finding,2025-01-31
T0125,KRAS mutation present,SNOMED_CT,1255855001,biomarker,KRAS gene mutation present,KRAS mutant;KRAS mutation;KRAS G12D;KRAS G12V;RAS mutation,finding,2025-01-31
T0126,KRAS wild-type,SNOMED_CT,1255856000,biomarker,KRAS wild type,KRAS WT;KRAS wild type;RAS wild type;KRAS negative,finding,2025-01-31
T0127,EGFR mutation present,SNOMED_CT,1255837007,biomarker,EGFR gene mutation present,EGFR mutant;EGFR mutation;sensitizing EGFR mutation;EGFR exon 19 del;EGFR L858R,finding,2025-01-31
T0128,BRAF V600E mutation,SNOMED_CT,1255840007,biomarker,BRAF V600E mutation,BRAF mutation;BRAF V600E;BRAF mutant;BRAF-mutated melanoma,finding,2025-01-31
T0129,ALK rearrangement,SNOMED_CT,1255841006,biomarker,ALK gene rearrangement,ALK fusion;ALK translocation;ALK-positive NSCLC;EML4-ALK,finding,2025-01-31
T0130,ROS1 rearrangement,SNOMED_CT,1255842004,biomarker,ROS1 gene rearrangement,ROS1 fusion;ROS1 rearrangement;ROS1-positive NSCLC,finding,2025-01-31
T0131,PD-L1 expression positive,SNOMED_CT,1255843009,biomarker,PD-L1 expression,PD-L1 positive;PD-L1 TPS;programmed death ligand 1;CD274;IC score,finding,2025-01-31
T0132,Microsatellite instability high,SNOMED_CT,1148595006,biomarker,Microsatellite instability high,MSI-H;MSI high;deficient mismatch repair;dMMR,finding,2025-01-31
T0133,Microsatellite stable,SNOMED_CT,1148594005,biomarker,Microsatellite stable,MSS;microsatellite stable;pMMR;proficient mismatch repair,finding,2025-01-31
T0134,MLH1 protein loss,SNOMED_CT,1255844003,biomarker,MLH1 protein expression absent,MLH1 loss;MLH1 absent;MLH1 mismatch repair;MLH1 IHC negative,finding,2025-01-31
T0135,MSH2 protein loss,SNOMED_CT,1255845002,biomarker,MSH2 protein expression absent,MSH2 loss;MSH2 absent;MSH2 mismatch repair;MSH2 IHC negative,finding,2025-01-31
T0136,Malignant neoplasm breast unspecified,ICD_10_CM,C50.919,cancer_type,Malignant neoplasm of unspecified site of unspecified female breast,breast cancer NOS;breast carcinoma unspecified side,histology,FY2025
T0137,Malignant neoplasm central breast,ICD_10_CM,C50.119,cancer_type,Malignant neoplasm of central portion of unspecified female breast,central breast cancer;retroareolar carcinoma,histology,FY2025
T0138,Malignant neoplasm upper-outer quadrant breast,ICD_10_CM,C50.419,cancer_type,Malignant neoplasm of upper-outer quadrant of unspecified female breast,UOQ breast cancer;upper outer breast cancer,histology,FY2025
T0139,Malignant neoplasm upper-inner quadrant breast,ICD_10_CM,C50.219,cancer_type,Malignant neoplasm of upper-inner quadrant of unspecified female breast,UIQ breast cancer;upper inner breast cancer,histology,FY2025
T0140,Malignant neoplasm lower-outer quadrant breast,ICD_10_CM,C50.519,cancer_type,Malignant neoplasm of lower-outer quadrant of unspecified female breast,LOQ breast cancer;lower outer breast cancer,histology,FY2025
T0141,Malignant neoplasm lower-inner quadrant breast,ICD_10_CM,C50.619,cancer_type,Malignant neoplasm of lower-inner quadrant of unspecified female breast,LIQ breast cancer;lower inner breast cancer,histology,FY2025
T0142,Malignant neoplasm overlapping sites breast,ICD_10_CM,C50.819,cancer_type,Malignant neoplasm of overlapping sites of unspecified female breast,overlapping breast lesion;multiquadrant breast cancer,histology,FY2025
T0143,Carcinoma in situ of breast,ICD_10_CM,D05.90,cancer_type,Unspecified type of carcinoma in situ of unspecified breast,CIS breast;DCIS;LCIS;breast in situ carcinoma,histology,FY2025
T0144,Ductal carcinoma in situ of breast ICD10,ICD_10_CM,D05.10,cancer_type,Intraductal carcinoma in situ of unspecified breast,DCIS;intraductal carcinoma;ductal in situ,histology,FY2025
T0145,Lobular carcinoma in situ of breast ICD10,ICD_10_CM,D05.00,cancer_type,Lobular carcinoma in situ of unspecified breast,LCIS;lobular in situ;lobular neoplasia,histology,FY2025
T0146,Malignant neoplasm of cecum ICD10,ICD_10_CM,C18.0,cancer_type,Malignant neoplasm of cecum,cecal cancer;cecal carcinoma;ileocecal carcinoma,histology,FY2025
T0147,Malignant neoplasm of appendix,ICD_10_CM,C18.1,cancer_type,Malignant neoplasm of appendix,appendiceal cancer;appendix carcinoma,histology,FY2025
T0148,Malignant neoplasm of ascending colon,ICD_10_CM,C18.2,cancer_type,Malignant neoplasm of ascending colon,ascending colon cancer;right colon cancer,histology,FY2025
T0149,Malignant neoplasm of hepatic flexure,ICD_10_CM,C18.3,cancer_type,Malignant neoplasm of hepatic flexure,hepatic flexure cancer,histology,FY2025
T0150,Malignant neoplasm of transverse colon,ICD_10_CM,C18.4,cancer_type,Malignant neoplasm of transverse colon,transverse colon cancer,histology,FY2025
T0151,Malignant neoplasm of splenic flexure,ICD_10_CM,C18.5,cancer_type,Malignant neoplasm of splenic flexure,splenic flexure cancer;left colic flexure cancer,histology,FY2025
T0152,Malignant neoplasm of descending colon,ICD_10_CM,C18.6,cancer_type,Malignant neoplasm of descending colon,descending colon cancer;left colon cancer,histology,FY2025
T0153,Malignant neoplasm of sigmoid colon ICD10,ICD_10_CM,C18.7,cancer_type,Malignant neoplasm of sigmoid colon,sigmoid colon cancer;sigmoid adenocarcinoma;pelvic colon cancer,histology,FY2025
T0154,Malignant neoplasm of rectosigmoid junction,ICD_10_CM,C19,cancer_type,Malignant neoplasm of rectosigmoid junction,rectosigmoid cancer;RS junction cancer,histology,FY2025
T0155,Malignant neoplasm of rectum ICD10,ICD_10_CM,C20,cancer_type,Malignant neoplasm of rectum,rectal cancer;rectal carcinoma;rectal adenocarcinoma,histology,FY2025
T0156,Malignant neoplasm of anus,ICD_10_CM,C21.0,cancer_type,Malignant neoplasm of anus unspecified,anal cancer;anal carcinoma,histology,FY2025
T0157,Malignant neoplasm upper lobe bronchus and lung,ICD_10_CM,C34.10,cancer_type,Malignant neoplasm of upper lobe unspecified bronchus and lung,upper lobe lung cancer;upper lobe NSCLC,histology,FY2025
T0158,Malignant neoplasm middle lobe bronchus and lung,ICD_10_CM,C34.2,cancer_type,Malignant neoplasm of middle lobe bronchus and lung,middle lobe lung cancer;RML lung cancer,histology,FY2025
T0159,Malignant neoplasm lower lobe bronchus and lung,ICD_10_CM,C34.30,cancer_type,Malignant neoplasm of lower lobe unspecified bronchus and lung,lower lobe lung cancer;lower lobe NSCLC,histology,FY2025
T0160,Malignant neoplasm main bronchus,ICD_10_CM,C34.00,cancer_type,Malignant neoplasm of unspecified main bronchus,main bronchus cancer;central lung cancer,histology,FY2025
T0161,Malignant neoplasm liver primary ICD10,ICD_10_CM,C22.0,cancer_type,Hepatocellular carcinoma,HCC;liver cell carcinoma;primary hepatic cancer,histology,FY2025
T0162,Malignant neoplasm bile duct ICD10,ICD_10_CM,C22.1,cancer_type,Intrahepatic bile duct carcinoma,cholangiocarcinoma;bile duct cancer;ICC,histology,FY2025
T0163,Malignant neoplasm head of pancreas,ICD_10_CM,C25.0,cancer_type,Malignant neoplasm of head of pancreas,pancreatic head cancer;periampullary cancer,histology,FY2025
T0164,Malignant neoplasm body of pancreas,ICD_10_CM,C25.1,cancer_type,Malignant neoplasm of body of pancreas,pancreatic body cancer,histology,FY2025
T0165,Malignant neoplasm tail of pancreas,ICD_10_CM,C25.2,cancer_type,Malignant neoplasm of tail of pancreas,pancreatic tail cancer;distal pancreatic cancer,histology,FY2025
T0166,Malignant neoplasm of stomach ICD10,ICD_10_CM,C16.9,cancer_type,Malignant neoplasm of stomach unspecified,gastric cancer;stomach cancer;gastric carcinoma,histology,FY2025
T0167,Malignant neoplasm of esophagus ICD10,ICD_10_CM,C15.9,cancer_type,Malignant neoplasm of esophagus unspecified,esophageal cancer;oesophageal cancer;esophageal carcinoma,histology,FY2025
T0168,Malignant neoplasm of prostate ICD10,ICD_10_CM,C61,cancer_type,Malignant neoplasm of prostate,prostate cancer;prostatic carcinoma;adenocarcinoma of prostate;PCa,histology,FY2025
T0169,Malignant neoplasm of kidney ICD10,ICD_10_CM,C64.9,cancer_type,Malignant neoplasm of unspecified kidney except renal pelvis,kidney cancer;renal cell carcinoma;RCC;clear cell RCC,histology,FY2025
T0170,Malignant neoplasm of bladder ICD10,ICD_10_CM,C67.9,cancer_type,Malignant neoplasm of bladder unspecified,bladder cancer;urothelial carcinoma;TCC bladder;transitional cell carcinoma,histology,FY2025
T0171,Diffuse large B-cell lymphoma ICD10,ICD_10_CM,C83.30,cancer_type,Diffuse large B-cell lymphoma unspecified site,DLBCL;aggressive NHL;diffuse large B cell,histology,FY2025
T0172,Follicular lymphoma grade 1 ICD10,ICD_10_CM,C82.00,cancer_type,Follicular lymphoma grade 1 unspecified site,follicular lymphoma G1;indolent NHL;grade 1 follicular,histology,FY2025
T0173,Follicular lymphoma grade 2 ICD10,ICD_10_CM,C82.10,cancer_type,Follicular lymphoma grade 2 unspecified site,follicular lymphoma G2;grade 2 follicular,histology,FY2025
T0174,Hodgkin lymphoma nodular sclerosis ICD10,ICD_10_CM,C81.10,cancer_type,Nodular sclerosis Hodgkin lymphoma unspecified site,Hodgkin disease NSHL;nodular sclerosis classical HL,histology,FY2025
T0175,Multiple myeloma ICD10,ICD_10_CM,C90.00,cancer_type,Multiple myeloma not having achieved remission,plasma cell myeloma;Kahler disease;myelomatosis,histology,FY2025
